Date,Open,High,Low,Volume,Close
2000-01-04,1313.890015,1388.969971,1262.699951,713512,1341.189941
2000-01-05,1358.25,1467.459961,1358.25,829256,1419.680054
2000-01-06,1399.209961,1416.27002,1365.079956,2367628,1365.079956
2000-01-07,1371.900024,1416.27002,1337.780029,413163,1392.380005
2000-01-10,1399.209961,1474.290039,1375.319946,704721,1392.380005
2000-01-11,1406.030029,1433.329956,1365.079956,773581,1385.560059
2000-01-12,1399.209961,1399.209961,1337.780029,707651,1385.560059
2000-01-13,1365.079956,1487.939941,1358.25,1492953,1453.810059
2000-01-14,1446.97998,1446.97998,1385.560059,405837,1392.380005
2000-01-17,1399.209961,1453.810059,1365.079956,868814,1388.969971
2000-01-18,1368.48999,1388.969971,1361.670044,1394791,1365.079956
2000-01-19,1365.079956,1365.079956,1262.699951,625605,1296.829956
2000-01-20,1296.829956,1330.949951,1272.939941,753070,1296.829956
2000-01-21,1272.939941,1365.079956,1242.219971,701791,1365.079956
2000-01-24,1378.72998,1385.560059,1337.780029,546488,1365.079956
2000-01-25,1395.790039,1395.790039,1296.829956,206581,1358.25
2000-01-26,1385.560059,1436.75,1358.25,819000,1426.51001
2000-01-27,1446.97998,1491.349976,1440.160034,575791,1450.400024
2000-01-28,1477.699951,1477.699951,1402.619995,364814,1433.329956
2000-01-31,1406.030029,1426.51001,1378.72998,341372,1412.859985
2000-02-01,1409.439941,1446.97998,1392.380005,635860,1433.329956
2000-02-02,1467.459961,1549.369995,1412.859985,389721,1535.709961
2000-02-03,1535.709961,1563.02002,1467.459961,414628,1542.540039
2000-02-04,1542.540039,1542.540039,1542.540039,0,1542.540039
2000-02-07,1542.540039,1563.02002,1467.459961,397046,1467.459961
2000-02-08,1460.640015,1528.890015,1433.329956,397046,1477.699951
2000-02-09,1477.699951,1477.699951,1416.27002,657837,1426.51001
2000-02-10,1382.140015,1416.27002,1330.949951,602163,1330.949951
2000-02-11,1365.079956,1365.079956,1303.650024,439535,1324.130005
2000-02-14,1307.060059,1344.599976,1262.699951,366279,1303.650024
2000-02-15,1330.949951,1330.949951,1252.459961,460046,1262.699951
2000-02-16,1235.400024,1286.589966,1170.560059,1198465,1208.099976
2000-02-17,1208.099976,1228.569946,1119.369995,2234302,1194.439941
2000-02-18,1180.790039,1218.329956,1167.140015,1106163,1170.560059
2000-02-21,1129.599976,1160.319946,1030.640015,678349,1051.109985
2000-02-22,1023.809998,1078.410034,989.682983,3649604,1071.589966
2000-02-23,1092.060059,1194.439941,1071.589966,1013860,1160.319946
2000-02-24,1146.670044,1228.569946,1109.130005,1950070,1194.439941
2000-02-25,1221.75,1228.569946,1187.619995,788233,1194.439941
2000-02-28,1221.75,1283.170044,1208.099976,877605,1242.219971
2000-02-29,1279.76001,1279.76001,1167.140015,322326,1221.75
2000-03-01,1221.75,1221.75,1221.75,0,1221.75
2000-03-02,1214.920044,1242.219971,1194.439941,571395,1225.160034
2000-03-03,1255.869995,1255.869995,1126.189941,506930,1139.839966
2000-03-06,1167.140015,1262.699951,1160.319946,597767,1245.640015
2000-03-07,1228.569946,1324.130005,1208.099976,767721,1320.709961
2000-03-08,1249.050049,1406.030029,1242.219971,703256,1385.560059
2000-03-09,1310.47998,1433.329956,1194.439941,795558,1194.439941
2000-03-10,1262.699951,1358.25,1255.869995,460046,1330.949951
2000-03-13,1337.780029,1460.640015,1266.109985,1416767,1433.329956
2000-03-14,1433.329956,1440.160034,1375.319946,798488,1429.920044
2000-03-15,1358.25,1416.27002,1344.599976,505465,1388.969971
2000-03-16,1406.030029,1433.329956,1351.430054,310605,1358.25
2000-03-17,1419.680054,1419.680054,1358.25,373605,1392.380005
2000-03-20,1433.329956,1433.329956,1351.430054,482023,1365.079956
2000-03-21,1395.790039,1426.51001,1351.430054,203651,1358.25
2000-03-22,1344.599976,1378.72998,1324.130005,389721,1365.079956
