Date,Open,High,Low,Volume,Close
2000-03-14,28773.59961,29528.30078,27830.19922,463538,28207.5
2000-03-15,27830.19922,28584.90039,27452.80078,355418,27500
2000-03-16,28207.5,28773.59961,27405.69922,470746,27594.30078
2000-03-17,28679.19922,30660.40039,28113.19922,847364,28867.90039
2000-03-20,29056.59961,29245.30078,28113.19922,329342,28207.5
2000-03-21,28113.19922,28490.59961,27169.80078,377148,27452.80078
2000-03-22,27735.80078,28584.90039,27169.80078,684442,28066
2000-03-23,28301.90039,28396.19922,27358.5,519506,27405.69922
2000-03-24,27452.80078,27783,26886.80078,391352,27264.19922
2000-03-27,27971.69922,29245.30078,27405.69922,830404,29245.30078
2000-03-28,29245.30078,29858.5,28962.30078,701508,29622.59961
2000-03-29,29528.30078,30566,29056.59961,939372,30000
2000-03-30,30000,30700,28500,474600,28700
2000-03-31,28000,28700,27100,386900,27100
2000-04-03,27000,28000,26000,519400,26500
2000-04-04,26800,27300,25000,414600,25000
2000-04-05,25000,25000,25000,0,25000
2000-04-06,24000,24600,23000,449300,23300
2000-04-07,23550,23800,22300,1419700,22700
2000-04-10,23200,24900,22200,1431800,24100
2000-04-11,24500,24500,23100,545800,23650
2000-04-12,23200,25400,22900,1113000,24750
2000-04-13,24750,24750,24750,0,24750
2000-04-14,24600,27500,24300,1875300,27000
2000-04-17,24150,25700,23200,1147000,23300
2000-04-18,25600,26750,24800,2535300,25950
2000-04-19,26600,27700,25550,1527700,26000
2000-04-20,26150,26700,25000,525700,25100
2000-04-21,25200,25700,24300,483200,25100
2000-04-24,24500,24800,23800,311300,24100
2000-04-25,23100,23600,22700,324700,23000
2000-04-26,24000,24000,20350,839200,20700
2000-04-27,21000,21800,20600,1004300,21350
2000-04-28,21500,23750,21500,1434500,22700
2000-05-01,22700,22700,22700,0,22700
2000-05-02,23000,23500,22250,750000,22800
2000-05-03,23000,23400,22900,498800,23050
2000-05-04,23100,23950,22500,939200,22850
2000-05-05,22850,22850,22850,0,22850
2000-05-08,22950,23300,22500,530600,22500
2000-05-09,22500,22500,22500,0,22500
2000-05-10,22700,23500,22400,955700,22700
2000-05-11,22700,22700,22700,0,22700
2000-05-12,22800,22950,21850,405800,22100
2000-05-15,22200,22350,20550,447800,20900
2000-05-16,20900,21950,20900,476000,21950
2000-05-17,22450,22450,21000,697500,21000
2000-05-18,21000,21400,20300,694000,21100
2000-05-19,22600,22750,21200,532200,22600
2000-05-22,22600,23800,22100,673100,22700
2000-05-23,22700,23700,22050,636000,22700
2000-05-24,23000,26100,22300,1611100,25500
2000-05-25,25800,27500,24300,1586200,24800
2000-05-26,24800,24900,22500,788100,22500
2000-05-29,22500,24450,22300,943900,23800
2000-05-30,23800,23800,23800,0,23800
2000-05-31,25200,26900,25200,1196000,25700
2000-06-01,26000,26100,24700,623900,25400
2000-06-02,26300,28400,26000,1515100,26300
2000-06-05,27800,29500,27100,1672400,29200
2000-06-06,29200,29200,29200,0,29200
2000-06-07,28700,31950,28600,1918600,30400
2000-06-08,29900,31250,27900,1121000,28500
2000-06-09,28500,32750,28100,1673500,32750
2000-06-12,34150,34300,32100,1520800,33700
2000-06-13,33000,33700,31000,1018700,31750
2000-06-14,31750,32300,29350,624300,29800
2000-06-15,29800,30200,27100,671300,27100
2000-06-16,27100,28550,26500,547400,27400
2000-06-19,27400,28200,26800,384100,27300
2000-06-20,28050,28950,26800,678500,28950
2000-06-21,28950,30900,28150,1649600,28550
2000-06-22,29400,29400,27950,504500,28300
2000-06-23,28300,29500,27450,438200,29500
2000-06-26,29500,30100,28800,423700,29300
2000-06-27,29800,31900,29400,1176400,31800
2000-06-28,31800,32800,30800,1068800,31150
2000-06-29,32000,32000,30200,765900,30550
2000-06-30,30550,31350,30150,689800,31000
2000-07-03,31000,31000,30200,745100,30950
2000-07-04,31000,34000,30500,2195900,31500
2000-07-05,31500,31850,30000,751000,31600
